Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Rimu Atkinson,https://www.crunchbase.com/person/rimu-atkinson,,,"Wellington, Wellington, New Zealand",Rimu Atkinson,,,,,,,,,,,"250,875"
Kutay Muslu,https://www.crunchbase.com/person/kutay-muslu,,,,Kutay Muslu,,,,,,,,,,,"250,876"
Will de Groot,https://www.crunchbase.com/person/will-degroot,,,"Boston, Massachusetts, United States","Mr. de Groot joined Boston Millennia Partners in August of 2008. He has worked on international, federal and state public policy issues for ...",,,,,,,,,,,"250,877"
Pierre Caudrelier,https://www.crunchbase.com/person/pierre-caudrelier,,,,Pierre Caudrelier,,,,,,,,,,,"250,886"
Ana Carolina João Soto,https://www.crunchbase.com/person/ana-carolina-joão-soto,,,"São Paulo, Sao Paulo, Brazil",Ana Carolina João Soto,,,,,,,,,,,"250,887"
Harshit Sharma,https://www.crunchbase.com/person/harshit-sharma-5b33,,,"Delhi, Delhi, India","We’re a digital marketing agency that delivers insane growth for our clients. we promote your business via social media,advertising,seo,Emai...",,Seed,,,,,,,,,"250,891"
Alex Taylor,https://www.crunchbase.com/person/alex-taylor-d332,,,"Warrawee, New South Wales, Australia",Alex Taylor,Investment Partner,,,1,,,,,,,"250,865"
Mathias Conradt,https://www.crunchbase.com/person/mathias-conradt,,,"Stuttgart, Baden-Wurttemberg, Germany","Cybersecurity professional with a software engineering and pre-sales background and a passion for open source, automation and data privacy; ...",,,,,,,,,,,"250,815"
Travis Lubinsky,https://www.crunchbase.com/person/travis-lubinsky-0813,1,,,Travis Lubinsky,Individual/Angel,,1,,,,,,,,"250,883"
Nitin Uppal,https://www.crunchbase.com/person/nitin-uppal-810b,1,,,Nitin Uppal,Individual/Angel,,1,,,,,,,,"250,873"
Rajeev Saraf,https://www.crunchbase.com/person/rajeev-saraf,2,,,Rajeev Saraf,Individual/Angel,Seed,2,,,,,,,,"250,892"
Omer Schipper,https://www.crunchbase.com/person/omer-schipper,,,,Omer Schipper,Investment Partner,Late Stage Venture,,1,,,,,,,"250,872"
Liew Kee Sin,https://www.crunchbase.com/person/liew-kee-sin,,,,Liew Kee Sin joined S P Setia as founder.,,,,,,,,,,,"250,879"
Mahan Ahmadi,https://www.crunchbase.com/person/mahan-ahmadi,,,"Bandar, Hormozgan, Iran","(Mojtaba Ahmadi poor known professionally as  Mahan Ahmadi), Mahan Ahmadi singer and percussion player living in Iran, the city of Bandar Ab...",,,,,,,,,,,"250,882"
Judy Carter,https://www.crunchbase.com/person/judy-carter,,,,Judy Carter,,,,,,,,,,,"250,822"
Henry Bohan Z,https://www.crunchbase.com/person/henry-bohan-z,,,"New York, New York, United States",Henry Bohan Z,,,,,,,,,,,"250,867"
Griffin Asigo,https://www.crunchbase.com/person/griffin-asigo,,,,Griffin Asigo,,Private Equity,,,,,,,,,"250,878"
Jonathan Karp,https://www.crunchbase.com/person/jonathan-karp,,,"New York, New York, United States",Jonathan Karp,,,,,,,,,,,"250,894"
Charlie Ramsden,https://www.crunchbase.com/person/charlie-ramsden,,,"London, England, United Kingdom",Charlie R. is a Associate Director at Turquoise International and an alumni of University of Exeter,Investment Partner,,,1,,,,,,,"250,839"
Steve Buytels,https://www.crunchbase.com/person/steve-buytels,,,,"Mr. Buytels brings over 13 years of oil and gas capital markets, finance and advisory industry experience. He most recently served as Managi...",,,,,,,,,,,"250,890"
Sebastien Meunier,https://www.crunchbase.com/person/sebastien-meunier,,,"Montréal, Quebec, Canada",Sebastien Meunier,,,,,,,,,,,"250,888"
Heinz Möckli,https://www.crunchbase.com/person/heinz-möckli,,,,Heinz Möckli,,,,,,,,,,,"250,889"
