Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Rural Development Administration,https://www.crunchbase.com/organization/rural-development-administration,2,,"Jeonju, Cholla-bukto, South Korea",Rural Development Administration is the official government information website for rural governance and administration,Government Office,,,"141,711"
Invergy B Side,https://www.crunchbase.com/organization/invergy-b-side,1,,,Universitat Oberta de Catalunya,University Program,,,"141,665"
TEWA (Tailoring & Embroidery Workers Association),https://www.crunchbase.com/organization/tewa-tailoring-embroidery-workers-association,,,"Hyderabad, Andhra Pradesh, India",A Semi Governmental Organization formed to help the workers working in Tailoring & Embroidery fields,"Entrepreneurship Program, Government Office, Pension Funds",,,"141,630"
Capital Communications CDPQ,https://www.crunchbase.com/organization/capital-communications-cdpq,8,5,"Montréal, Quebec, Canada","Capital Communications CDPQ, a subsidiary of the Caisse de Depot et Placement du Quebec.",Government Office,,2,"141,484"
The Sustainable Innovation Fund,https://www.crunchbase.com/organization/the-sustainable-innovation-fund,5,,"Leeds, Leeds, United Kingdom",The Sustainable Innovation Fund is a government investment fund.,Government Office,,5,"141,413"
APSG sponser,https://www.crunchbase.com/organization/apsg-sponser,1,1,"Miami Beach, Florida, United States",Apollo,"Co-Working Space, Corporate Venture Capital, University Program, Venture Capital",Venture,,"141,381"
UChicago Startup Investment Program,https://www.crunchbase.com/organization/uchicago-startup-investment-program,4,,"Chicago, Illinois, United States",UChicago Startup Investment Program,University Program,,,"141,304"
Life Sciences Scotland,https://www.crunchbase.com/organization/life-sciences-scotland,1,,"Glasgow, Glasgow City, United Kingdom","Life Sciences Scotland is an industry, enterprise of agencies, and government strategy.",Government Office,,1,"141,058"
Thad Cochran Endowment for Entrepreneurship,https://www.crunchbase.com/organization/thad-cochran-endowment-for-entrepreneurship,,,"Starkville, Mississippi, United States","The endowment establishes an organization to promote entrepreneurship among MSU faculty, students and Mississippi businesses.",University Program,,,"140,888"
The Edward E. Ford Foundation,https://www.crunchbase.com/organization/the-edward-e-ford-foundation,1,,"Brooklyn, New York, United States",The Edward E. Ford Foundation supports independent schools and promotes innovative techniques to improve secondary education.,University Program,,1,"140,754"
Community Economic Resilience Fund,https://www.crunchbase.com/organization/community-economic-resilience-fund,1,,"Sacramento, California, United States","Community Economic Resilience Fund is a program developed support resilient, equitable, and sustainable regional economies.",Government Office,,1,"140,281"
University of Cambridge Endowment Fund,https://www.crunchbase.com/organization/university-of-cambridge-endowment-fund,,,"Cambridge, Cambridgeshire, United Kingdom",University of Cambridge Endowment Fund is a company that provides teaching services.,University Program,Private Equity,,"140,090"
Lunds Universitets Utvecklingsbolag,https://www.crunchbase.com/organization/lunds-universitets-utvecklingsbolag,1,,"Lund, Skane Lan, Sweden",Lunds Universitets Utvecklingsbolag AB is a venture capital arm of Lund University specializing in seed and start-up investments.,"University Program, Venture Capital",,,"139,679"
Yonsei Technology Business Center,https://www.crunchbase.com/organization/yonsei-technology-business-center,4,,"Seoul, Seoul-t'ukpyolsi, South Korea",The Yonsei Technology Business Center was created to provide support in education and advising for business.,"Incubator, University Program",,2,"139,415"
Enterprise Development Center (EDC),https://www.crunchbase.com/organization/njit-edc,,,"Newark, New Jersey, United States",A business development center and incubator on the campus of New Jersey Institute of Technology,University Program,"Crowdfunding, Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Secondary Market, Seed",,"139,213"
Sviluppo Basilicata,https://www.crunchbase.com/organization/sviluppo-basilicata,1,,"Tito, Basilicata, Italy","Società finanziaria regionale a sostegno dello sviluppo, della ricerca e della competitività del territorio della regione Basilicata.","Government Office, Incubator",,1,"139,125"
StarTAU,https://www.crunchbase.com/organization/startau-ve-program,,,"Tel Aviv, Tel Aviv, Israel",StarTAU is a non-profit organization that assists businesses and entrepreneurs from a variety of business fields.,University Program,,,"138,983"
Luxembourg Ministry of Economy,https://www.crunchbase.com/organization/luxembourg-ministry-of-economy,5,,,Ministry of economy,Government Office,,2,"138,759"
Regional Economic Development Councils,https://www.crunchbase.com/organization/regional-economic-development-councils,,,"Albany, New York, United States",Regional Economic Development Councils provids grants.,Government Office,,,"138,534"
Wyoming Department of Workforce Services,https://www.crunchbase.com/organization/wyoming-department-of-workforce-services,2,,"Cheyenne, Wyoming, United States",Wyoming Department of Workforce Services vision is to lead workforce innovation and investing in employee development.,Government Office,,2,"138,464"
Chungbuk National University Technology Holdings,https://www.crunchbase.com/organization/chungbuk-national-university-technology-holdings,1,,"Cheongju, Ch'ungch'ong-bukto, South Korea",Chungbuk National University Technology Holdings promotes entrepreneurship and technology commercialization in the Chungbuk region.,University Program,,,"138,158"
Australian Business Securitisation Fund,https://www.crunchbase.com/organization/australian-business-securitisation-fund,1,,,The Australian Business Securitisation Fund expands the institutional funding market for small and medium-sized enterprises.,Government Office,,1,"138,156"
Arvind Capitals,https://www.crunchbase.com/organization/arvind-capitals,1,,"Mumbai, Maharashtra, India",investment management,"Corporate Venture Capital, Government Office, Hedge Fund, Investment Bank, Pension Funds","Convertible Note, Private Equity, Secondary Market, Venture",1,"138,093"
EBN,https://www.crunchbase.com/organization/ebn,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Europe’s leading innovation partner network, fast-tracking your connectivity and certifying your value","Accelerator, Co-Working Space, Entrepreneurship Program, Incubator, Startup Competition, University Program",,,"138,072"
Boston University Community Technology Fund,https://www.crunchbase.com/organization/boston-university-community-technology-fund-2,2,1,,Boston University Community Technology Fund is a private investment fund that focuses on start-ups and seed-stage businesses.,University Program,,,"138,025"
"State Treasury, Finland",https://www.crunchbase.com/organization/state-treasury-finland,1,,"Helsinki, Southern Finland, Finland",The State Treasury is responsible for Finland's central government borrowing as well as debt and liquidity management.,Government Office,,1,"137,926"
University of Melbourne Endowment Fund,https://www.crunchbase.com/organization/university-of-melbourne-endowment-fund,1,,"Melbourne, Victoria, Australia",University of Melbourne Endowment fund is an investment fund of University of Melbourne.,"University Program, Venture Capital",Early Stage Venture,1,"137,786"
South Cambridge District Council,https://www.crunchbase.com/organization/south-cambridge-district-council,1,,"Camborne, Cornwall, United Kingdom",South Cambridge District Council l is an ambitious council with an exciting agenda for the future.,Government Office,,1,"137,778"
Canadian Co-operative Investment Fund,https://www.crunchbase.com/organization/canadian-co-operative-investment-fund,,,"Toronto, Ontario, Canada",The Canadian Co-operative Investment Fund is a source of capital that takes into account the realities of the co-operative and mutual model,Government Office,,,"137,757"
VTT Ventures,https://www.crunchbase.com/organization/vtt-ventures,22,2,"Espoo, Southern Finland, Finland",VTT Ventures Ltd.’s mission is to focus on extracting value from VTT technology in developing VTT based high-tech companies with,"Government Office, Venture Capital",Seed,3,"137,672"
NextLab Ventures Group,https://www.crunchbase.com/organization/nextlab-ventures-group,,,"Mexico City, Distrito Federal, Mexico",NextLab was founded as a next generation laboratory at the Massachusetts Institute of Technology.,University Program,,,"137,326"
Stanford CodeX,https://www.crunchbase.com/organization/stanford-codex,,,"Palo Alto, California, United States",Stanford CodeX is a multidisciplinary laboratory operated by Stanford Law School and the Stanford CS Department.,University Program,,,"137,282"
Tampa Bay Partnership,https://www.crunchbase.com/organization/tampa-bay-partnership,,,"Tampa, Florida, United States",Tampa Bay Partnership is an eight-county economic development organization.,Government Office,,,"137,018"
Colorado Clean Energy Fund,https://www.crunchbase.com/organization/colorado-clean-energy-fund,1,,"Denver, Colorado, United States",The Colorado Clean Energy Fund (CCEF) is a mission-driven impact investment fund.,Government Office,,1,"136,977"
Societe Innovatech du Grand Montreal,https://www.crunchbase.com/organization/societe-innovatech-du-grand-montreal,5,3,"Montréal, Quebec, Canada",Societe Innovatech du Grand Montreal,Government Office,,3,"136,766"
Gründerland Bayern,https://www.crunchbase.com/organization/gründerland-bayern,1,,,With Gründerland Bayern you can realize your ideas,Government Office,,1,"136,573"
i-Lab,https://www.crunchbase.com/organization/i-lab,3,,,"Ministère de lʼEnseignement supérieur, de la Recherche et de lʼInnovation",Government Office,,,"136,401"
University of Utah Endowment,https://www.crunchbase.com/organization/university-of-utah-endowment,2,1,"Salt Lake City, Utah, United States",University of Utah Endowment is a venture capital fund that offers a range of investment services.,"University Program, Venture Capital","Early Stage Venture, Late Stage Venture",,"135,967"
Startify7,https://www.crunchbase.com/organization/startify7,,,"Almería, Andalucia, Spain",Startify7 Almeria Simulations Academy,University Program,,,"135,842"
"Tangent, Trinity's Ideas Workspace",https://www.crunchbase.com/organization/tangent-trinity-s-ideas-workspace,1,,"Dublin, Dublin, Ireland","Tangent, Trinity's Ideas Workspace aims to bridge the gap between the university and the wider start-up ecosystem.",University Program,,,"135,829"
Anhui Provincial Culture and Digital Creative Fund,https://www.crunchbase.com/organization/anhui-provincial-culture-and-digital-creative-fund,1,,"Hefei, Anhui, China",Anhui Cultural Investment is a provincial-level comprehensive cultural property rights trading service organization.,Government Office,,,"135,785"
Portuguese Public Funding,https://www.crunchbase.com/organization/portuguese-public-funding,2,,,Portuguese Public Funding,Government Office,,,"135,714"
Innovate Durban,https://www.crunchbase.com/organization/innovate-durban,1,,"Durban, NA - South Africa, South Africa",Innovate Durban is a Non-profit Company aimed at stimulating innovation within the Durban region.,Government Office,,1,"135,594"
Florida State University - Jim Moran College of Entrepreneurship,https://www.crunchbase.com/organization/florida-state-university-jim-moran-college-of-entrepreneurship,1,,"Tallahassee, Florida, United States",Florida State University - Jim Moran College of Entrepreneurship is an education program.,"Co-Working Space, University Program",Grant,1,"135,399"
MIT Enterprise Forum of New York City,https://www.crunchbase.com/organization/mit-enterprise-forum-of-new-york-city,,,"New York, New York, United States","A volunteer, not-for-profit organization whose mission is to provide educational programs and services.",University Program,,,"135,042"
Business.gov.nl,https://www.crunchbase.com/organization/business-gov-nl,1,,"Utrecht, Utrecht, The Netherlands",Business.gov.nl is a point of single contact for entrepreneurs and businesses.,Government Office,,,"134,982"
Netherlands Space Office,https://www.crunchbase.com/organization/netherlands-space-office,2,,"The Hague, Zuid-Holland, The Netherlands",The Netherlands Space Office (NSO) is the governmental Space Agency of the Netherlands.,Government Office,Grant,2,"134,925"
"Giga Korea Foundation Co., LTD",https://www.crunchbase.com/organization/giga-korea-foundation-co-ltd,1,,"Daejeon, Taejon-jikhalsi, South Korea",5G Enabled Technologies and Applications,Government Office,Grant,1,"134,446"
Ayrshire Growth Deal,https://www.crunchbase.com/organization/ayrshire-growth-deal,1,,"Ayr, South Ayrshire, United Kingdom","Ayrshire Growth Deal is an investment partnership of Scottish Government, the UK Government and East, North & South Aryshire Councils.",Government Office,"Debt, Grant",,"134,258"
Naugatuck Valley Council of Governments,https://www.crunchbase.com/organization/naugatuck-valley-council-of-governments,1,,"Waterbury, Connecticut, United States",Naugatuck Valley Council of Governments is a regional planning agency focuses on economic development.,Government Office,,1,"134,086"
Jinwin Investment,https://www.crunchbase.com/organization/jinwin-investment,2,,"Shanghai, Shanghai, China",Jinwin Investment is the direct investment arm of the Publicity Department of the Shanghai Municipal Committee.,Government Office,,,"133,676"
University Grants Committee,https://www.crunchbase.com/organization/university-grants-committee,1,,"Wan Chai, Hong Kong Island, Hong Kong",University Grants Committee of Hong Kong is a non-statutory advisory committee responsible for counselling the Government of Hong Kong.,University Program,,1,"133,582"
Yangzi Investment Group,https://www.crunchbase.com/organization/yangzi-investment-group,2,,"Nanjing, Jiangsu, China",Yangzi Investment Group provides asset and fund management services.,Government Office,,1,"133,381"
Grassroots Capital Management,https://www.crunchbase.com/organization/grassroots-capital-management,,,"Brooklyn, New York, United States","Grassroots Capital Management invests in small and micro businesses, affordable housing, sustainable agriculture and affordable education.",Government Office,,,"133,131"
The Kentucky Product Development Initiative,https://www.crunchbase.com/organization/the-kentucky-product-development-initiative,1,,"Frankfort, Maine, United States",The Kentucky Product Development Initiative grant was created by the state and the Kentucky Association for Economic Development.,Government Office,,1,"132,912"
Fphec,https://www.crunchbase.com/organization/fphec,1,,"Montreal, Quebec, Canada",Fphec is a impact investing finance company located in Montreal.,University Program,,1,"132,789"
Connecticut Health Horizons,https://www.crunchbase.com/organization/connecticut-health-horizons,1,,"Hartford, Connecticut, United States",Connecticut Health Horizons is an initiative program aimed to support nursing and social work professionals.,Government Office,,1,"132,713"
Canadian Agricultural Partnership,https://www.crunchbase.com/organization/canadian-agricultural-partnership,12,1,"Ottawa, Ontario, Canada","Canadian Agricultural Partnership is a $3 billion five-year investment by federal, provincial and territorial (FPT) governments.",Government Office,,12,"132,288"
Reto Zapopan,https://www.crunchbase.com/organization/reto-zapopan,,,"Zapopan, Jalisco, Mexico",Programa impulsado por el Gobierno Municipal de Zapopan para impulsar el ecosistema emprendedor.,Government Office,,,"132,160"
Gansu State Investment,https://www.crunchbase.com/organization/gansu-state-investment,1,,,Gansu State Investment is an organization that provides investment.,Government Office,,,"131,724"
Alliance Islamic Bank Berhad,https://www.crunchbase.com/organization/alliance-islamic-bank-berhad,1,,,"Alliance Islamic Bank Berhad, a subsidiary of Alliance Bank Malaysia Berhad, is led by a team of dedicated personnel who are trained",Government Office,,,"131,507"
Huji Innovate,https://www.crunchbase.com/organization/huji-innovate,,,"Jerusalem, Yerushalayim, Israel",Huji Innovate is the Center for Innovation and Entrepreneurship at the Hebrew University.,"Entrepreneurship Program, University Program",,,"131,289"
UK Research Partnership Investment Fund,https://www.crunchbase.com/organization/uk-research-partnership-investment-fund,2,,"Bristol, Bristol, City of, United Kingdom",UK Research Partnership Investment Fund is an investment fund.,Government Office,,2,"131,062"
The Technology Modernization Fund,https://www.crunchbase.com/organization/the-technology-modernization-fund,2,,"Washington, District of Columbia, United States",The Technology Modernization Fund is an innovative investment program.,Government Office,Grant,2,"131,059"
Arkansas Natural and Cultural Resources Council,https://www.crunchbase.com/organization/arkansas-natural-and-cultural-resources-council,3,,"Little Rock, Arkansas, United States",Arkansas Natural and Cultural Resources Council was established by the Arkansas Legislature in 1987 by Arkansas Act 729.,Government Office,,3,"130,960"
EPFL Startup Launchpad,https://www.crunchbase.com/organization/epfl-startup-launchpad,1,,"Lausanne, Vaud, Switzerland",EPFL Startup Launchpad empower startups incubated at EPFL by providing funding and support.,University Program,,1,"130,572"
Hanyang University ERICA Industry-University Cooperation Foundation,https://www.crunchbase.com/organization/hanyang-university-erica-industry-university-cooperation-foundation,,,"Ansan, Inch'on-jikhalsi, South Korea",Hanyang University ERICA Industry-University Cooperation Foundation provides systematic R&D curriculum and top-notch start-up programs.,University Program,,,"130,493"
Support Ukrainian Startups NOW Program,https://www.crunchbase.com/organization/support-ukrainian-startups-now-program,7,,,Support Ukrainian Startups NOW Program is launched by free Ukraine Foundation and UVCA.,Government Office,Grant,6,"130,461"
Prodeko Ventures,https://www.crunchbase.com/organization/prodeko-ventures,4,1,"Espoo, Southern Finland, Finland",Prodeko Ventures is a development company that makes early-stage investments in companies operating in various sectors.,University Program,,,"130,379"
Wisconsin Health and Educational Facilities Authority,https://www.crunchbase.com/organization/wisconsin-health-and-educational-facilities-authority,1,,"Brookfield, Wisconsin, United States",Wisconsin Health and Educational Facilities Authority provides financial assistance to Wisconsin nonprofit health care institutions.,Government Office,,1,"130,351"
la Caixa Foundation,https://www.crunchbase.com/organization/la-caixa-foundation,1,1,"Barcelona, Catalonia, Spain","la Caixa Foundation believe in people and their capacity to grow, work and overcome adversity.",Government Office,Grant,1,"130,241"
West Yorkshire Consortium of Colleges,https://www.crunchbase.com/organization/west-yorkshire-consortium-of-colleges,1,,"Rothwell, Leeds, United Kingdom","West Yorkshire Consortium of Colleges brings businesses, organizations, and training providers together to deliver workforce training.",University Program,,1,"130,027"
Illinois Growth and Innovation Fund,https://www.crunchbase.com/organization/illinois-growth-and-innovation-fund,,,"Chicago, Illinois, United States",Institutional Investor,Government Office,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed, Venture",,"129,905"
AustCyber,https://www.crunchbase.com/organization/austcyber,1,,"Canberra, Australian Capital Territory, Australia",AustCyber supports the development of a vibrant and globally competitive cyber security sector.,Government Office,Grant,,"129,771"
California Health Facilities Financing Authority,https://www.crunchbase.com/organization/california-health-facilities-financing-authority,4,,"Sacramento, California, United States",CHFFAwas created to serve as the state's vehicle for providing financial assistance to public and non-profit health care providers.,Government Office,,4,"129,701"
Stumberg Venture Competition,https://www.crunchbase.com/organization/stumberg-venture-competition,3,,"San Antonio, Texas, United States","Stumberg Venture Competition is a yearly event held to give students connections, opportunities, and experience in startups.",University Program,,3,"129,647"
Invest Liverpool,https://www.crunchbase.com/organization/invest-liverpool,,,"Liverpool, Liverpool, United Kingdom",They are committed to attracting investment and growing your business.,Government Office,,,"129,563"
Regional Innovation Ecosystems Program,https://www.crunchbase.com/organization/regional-innovation-ecosystems-program,2,,"Ottawa, Ontario, Canada",Regional Innovation Ecosystems (RIE) cultivate inclusive regional ecosystems that satisfy corporate needs across the innovation spectrum.,Government Office,,2,"129,294"
University of Minnesota Discovery Capital Investment,https://www.crunchbase.com/organization/university-of-minnesota-discovery-capital-investment,2,,"Saint Paul, Minnesota, United States",University of Minnesota Discovery Capital Investment,University Program,,1,"129,201"
Land Bank Initiative,https://www.crunchbase.com/organization/land-bank-initiative,1,,"New York, New York, United States",Land Bank Initiative is a non profit organization partnered with government entities.,Government Office,,1,"129,172"
Rush Medical College,https://www.crunchbase.com/organization/rush-medical-college,1,,"Chicago, Illinois, United States",Rush Medical College offers medical students a supportive environment that aims to nurture the development of physicians.,University Program,,,"128,959"
Irish Fund,https://www.crunchbase.com/organization/irish-fund,,,"Dublin, Dublin, Ireland",The Irish Funds Industry Association (Irish Funds) is the representative body for the international investment fund community in Ireland.,Government Office,,,"128,952"
SOWALFIN,https://www.crunchbase.com/organization/sowalfin-b4c9,1,,"Liège, Liege, Belgium",The SOWALFIN Group was set up by the Walloon Government to support the access to finance to SMEs and self-employed entrepreneurs.,Government Office,,,"128,787"
Aeneas Ventures,https://www.crunchbase.com/organization/aeneas-ventures,4,2,"Boston, Massachusetts, United States",Aeneas Venture Corp is the venture capital arm of Harvard Management Company.,University Program,"Early Stage Venture, Seed",1,"128,529"
Defence Innovation Organisation,https://www.crunchbase.com/organization/defence-innovation-organisation,1,,"New Delhi, Delhi, India",Innovations for Defence Excellence (iDEX) was launched by the central government India.,Government Office,Grant,1,"128,461"
United Nations Office for South-South Cooperation (UNOSSC),https://www.crunchbase.com/organization/united-nations-office-for-south-south-cooperation-unossc,1,,"New York, New York, United States","a United Nations organization, under the UNDP",Government Office,,,"128,430"
The Jerusalem Development Authority,https://www.crunchbase.com/organization/the-jerusalem-development-authority,1,,"Jerusalem, Yerushalayim, Israel",The Jerusalem Development Authority is a statutory corporation which was established by law in 1988.,Government Office,Grant,,"128,313"
3IE,https://www.crunchbase.com/organization/3ie,,,"Valparaiso, Valparaiso, Chile","Business incubator from Universidad Técnica Federico Santa María, Chile","Entrepreneurship Program, Incubator, University Program","Early Stage Venture, Grant, Non Equity Assistance, Seed",,"128,277"
Ontario Venture Capital Fund,https://www.crunchbase.com/organization/ontario-venture-capital-fund,3,1,"Toronto, Ontario, Canada","Ontario Venture Capital Fund is investment company,Its collect the money from and invested in and government private sectors.","Government Office, Venture Capital",Late Stage Venture,1,"128,216"
Shuimu Tsinghua TBC,https://www.crunchbase.com/organization/shuimu-tsinghua-tbc,4,,"Haidian, Beijing, China",Shuimu Tsinghua focuses on investing in Tsinghua alumni and writing the first check for entrepreneurial alumni.,University Program,,1,"128,071"
"Norwegian Ministry of Trade, Industry and Fisheries",https://www.crunchbase.com/organization/norwegian-government-security-and-service-organisation,1,,"Oslo, Oslo, Norway","The Ministry is responsible for the trade, industry and seafood policy.",Government Office,,,"127,785"
Estonian Research Council,https://www.crunchbase.com/organization/estonian-research-council,1,,"Tartu, Tartumaa, Estonia","Estonian Research Council is a government agency that promotes research funding, development, and innovation systems for society.",Government Office,,,"127,660"
"State Secretariat for Education, Research and Innovation SERI",https://www.crunchbase.com/organization/state-secretariat-for-education-research-and-innovation-seri,1,,"Bern, Bern, Switzerland","State Secretariat for Education, Research and Innovation SERI within the Federal Department of Economic Affairs, Education and Research",Government Office,,1,"127,626"
Kuveyt Turk Bank,https://www.crunchbase.com/organization/kuveyt-turk-bank-e4f2,2,,"Istanbul, Istanbul, Turkey",Kuveyt Turk Bank has been operating in the interest-free finance sector with its customer-focused approach.,Government Office,,,"127,556"
Boyan fund,https://www.crunchbase.com/organization/boyan-fund,2,,"Chaoyang, Liaoning, China",Boyan fund is an investment fund.,"Micro VC, University Program",,,"127,449"
Austrian Development Agency,https://www.crunchbase.com/organization/austrian-development-agency,3,,"Vienna, Wien, Austria",Austrian Development Agency is a government agency that provides fundraising and development services to support partner countries.,Government Office,,,"127,302"
Cup of ideas,https://www.crunchbase.com/organization/cup-of-ideas,5,,"Riga, Riga, Latvia",Cup of Ideas is an investment and development agency that manages a business idea competition provided with corresponding prizes.,"Government Office, Startup Competition",Grant,5,"126,525"
Opioid Operational Command Center,https://www.crunchbase.com/organization/opioid-operational-command-center,1,,"Crownsville, Maryland, United States",Opioid Operational Command Center funded public awareness campaign.,Government Office,,1,"126,206"
LIFT Partners,https://www.crunchbase.com/organization/lift-partners,,,"Canadá, Cundinamarca, Colombia",LIFT is a not-for-profit organization.,Government Office,,,"125,855"
Media Development Authority,https://www.crunchbase.com/organization/media-development-authority,7,1,"Singapore, Central Region, Singapore",The Media Development Authority (MDA) was created to develop Singapore into a vibrant global media city as well as foster a creative,Government Office,Seed,,"125,550"
Association of European Businesses,https://www.crunchbase.com/organization/association-of-european-businesses,,,"Moscow, Moscow City, Russian Federation","Association of European Businesses is an independent non-profit organisation representing over 520 companies from Europe, Russia.",Government Office,,,"125,358"
Alberta Jobs & Growth Fund,https://www.crunchbase.com/organization/alberta-jobs-growth-fund,1,,"Ottawa, Ontario, Canada",Alberta Jobs & Growth Fund provides funding to businesses and organizations to help create jobs and position Canada’s economy.,Government Office,,,"125,299"
Kansas Office of Broadband Development,https://www.crunchbase.com/organization/kansas-office-of-broadband-development,1,1,"Topeka, Kansas, United States",Kansas Office of Broadband Development is a acceleration grant fund of Kansas department of Commerce.,Government Office,,1,"125,297"
Kansas Technology Enterprise,https://www.crunchbase.com/organization/kansas-technology-enterprise,3,,"Topeka, Kansas, United States","Kansas Technology Enterprise is a Topeka-based venture capital firm specialized in incubation, seed, and early stage investments.","Government Office, Private Equity Firm",Seed,,"125,281"
Jiangsu Industrial Fund,https://www.crunchbase.com/organization/jiangsu-industrial-fund,2,,"Jiangshu, Jiangsu, China",Jiangsu Industrial Fund is a provincial fund of the Jiangsu government.,Government Office,,,"125,144"
Queen's Capital,https://www.crunchbase.com/organization/queen-s-capital,,,"Kingston, Ontario, Canada",Premier cross-faculty investment manager at Queen's University,University Program,,,"125,015"
TNInvestco,https://www.crunchbase.com/organization/tninvestco,2,,"Nashville, Tennessee, United States","TNInvestco is a state-sponsored, “venture capital type” program","Government Office, Venture Capital",,,"124,730"
Team Kentucky Nonprofit Assistance Fund,https://www.crunchbase.com/organization/team-kentucky-nonprofit-assistance-fund,3,,,Team Kentucky Nonprofit Assistance Fund makes one-time direct relief payments to eligible nonprofit organizations.,Government Office,,3,"124,325"
Medical CBRN Defense Consortium,https://www.crunchbase.com/organization/medical-cbrn-defense-consortium,1,,"Summerville, South Carolina, United States",Medical CBRN Defense Consortium was formed in response to the Government’s expressed interest for an Other Transaction Agreement (OTA).,Government Office,,1,"124,275"
Xiangjiang State Investment,https://www.crunchbase.com/organization/xiangjiang-state-investment,1,,"Changsha, Jiangsu, China",Xiangjiang State Investment is a wholly state-owned enterprise engaged in state-owned capital investment and operation.,Government Office,,,"124,233"
CDI Capital,https://www.crunchbase.com/organization/cdi-capital,2,,"Cape Town, NA - South Africa, South Africa",CDI Capital is a non-profit company that focuses on SMME development space and growing local creative businesses.,Government Office,,2,"124,082"
Edetec Hub,https://www.crunchbase.com/organization/edetec-hub,,,"Fortaleza, Mato Grosso do Sul, Brazil",Edetec Hub is a space that helps companies and entrepreneurs to develop through business acceleration programs and methodologies.,"Accelerator, Entrepreneurship Program, University Program",,,"123,891"
CU New Venture Challenge,https://www.crunchbase.com/organization/cu-new-venture-challenge,1,,"Boulder, Colorado, United States",The New Venture Challenge (NVC) connects the CU Boulder campus with the Boulder community to develop and fund entrepreneurial ideas.,"Startup Competition, University Program",,,"123,601"
The Council for South Texas Economic Progress,https://www.crunchbase.com/organization/the-council-for-south-texas-economic-progress,1,,"Mcallen, Texas, United States",The Council for South Texas Economic Progress is a economic development organization.,Government Office,,1,"123,586"
Ministry of Economic Affairs (Innovation Credit),https://www.crunchbase.com/organization/ministry-of-economic-affairs-innovation-credit,3,,"Haag, Zuid-Holland, The Netherlands",Ministry of Economic Affairs (Innovation Credit) supports the Dutch economy's inventive capabilities and sustainable growth.,Government Office,,3,"122,851"
The Linkage Project,https://www.crunchbase.com/organization/the-linkage-project,1,1,"Canberra, Australian Capital Territory, Australia",The Linkage Projects grant opportunity supports projects which initiate or develop long term strategic research alliances.,Government Office,Grant,1,"122,780"
Ronnie K. Irani Center for the Creation of Economic Wealth (I-CCEW),https://www.crunchbase.com/organization/the-center-for-the-creation-of-economic-wealth,,,"Norman, Oklahoma, United States","We create wealth by building an environment that advances ideas, people, and businesses.",University Program,,,"122,702"
.Invest Ukraine,https://www.crunchbase.com/organization/invest,1,,,.Invest is a smart angel fund investment investing in Ukrainian startups.,"Angel Group, Government Office",,,"122,518"
Société de développement de la Baie James,https://www.crunchbase.com/organization/société-de-développement-de-la-baie-james,10,8,"Matagami, Quebec, Canada","Société de développement de la Baie James is a company that promote economic development,development and exploitation of natural resources.",Government Office,,1,"122,330"
Brevard Alzheimer's Foundation,https://www.crunchbase.com/organization/brevard-alzheimer-s-foundation,2,,"Melbourne, Florida, United States","The Brevard Alzheimer’s Foundation, Inc. is a not-for-profit 501(c)3 organization. Donations and services.",Government Office,Grant,2,"122,314"
Oregon New Venture Championship,https://www.crunchbase.com/organization/oregon-new-venture-championship,,,"Portland, Oregon, United States",The New Venture Championship (NVC) is one of the preeminent graduate student investment competitions in the world.,University Program,,,"122,286"
Orange Corners,https://www.crunchbase.com/organization/orange-corners,2,,"The Hague, Zuid-Holland, The Netherlands",Orange Corners is an initiative of the Kingdom of the Netherlands.,Government Office,,,"122,178"
Malta Enterprise,https://www.crunchbase.com/organization/malta-enterprise,10,1,"Valletta, NA - Malta, Malta",Malta Enterprise is attracts new foreign direct investment as well as facilitating the growth of existing operations.,Government Office,,5,"122,165"
Die Wirtschaftskammer,https://www.crunchbase.com/organization/die-wirtschaftskammer,4,1,"Vienna, Wien, Austria","The Austrian Federal Economic Chamber (WKO), formerly the Federal Chamber of Commerce, is a public corporation.",Government Office,,3,"121,757"
Cheshire & Warrington,https://www.crunchbase.com/organization/cheshire-warrington,1,,"Winsford, Somerset, United Kingdom",Cheshire & Warrington is a private sector-led organization.,Government Office,,,"121,688"
Ministry of Economic Affairs and Climate,https://www.crunchbase.com/organization/ministry-of-economic-affairs-and-climate,1,,"The Hague, Zuid-Holland, The Netherlands",Ministry of Economic Affairs and Climate is a government administration.,Government Office,,,"121,642"
Nau of Innovation,https://www.crunchbase.com/organization/nau-of-innovation,1,,"Alicante, Comunidad Valenciana, Spain","Nau of Innovation is an incubator and accelerator that provides support to entrepreneurs, start ups, and new innovative companies.","University Program, Venture Capital",,,"121,591"
New Door Ventures,https://www.crunchbase.com/organization/new-door-ventures,,,"San Francisco, California, United States",New Door Ventures is a non for profit group that helps high risk young people get access to education and training.,Government Office,,,"121,467"
