Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Gebert Rüf Stiftung,https://www.crunchbase.com/organization/gebert-rüf-stiftung,10,,"Basel, Basel-Stadt, Switzerland",Gebert Rüf Foundation is the largest Science Foundation of Switzerland with headquarters in Basel.,"Entrepreneurship Program, Government Office","Early Stage Venture, Grant",3,"54,657"
República Argentina,https://www.crunchbase.com/organization/república-argentina,2,,"Buenos Aires, Distrito Federal, Argentina",Ministry of Foreign Affairs and Worship of Argentina.,Government Office,,,"54,532"
OPG Ventures,https://www.crunchbase.com/organization/opg-ventures,13,3,"Toronto, Ontario, Canada","OPG Ventures, Inc. is the investment arm of Ontario Power Generation, Inc. specializing in investments in companies in the late startup or","Government Office, Venture Capital","Early Stage Venture, Late Stage Venture",1,"54,479"
AgeRio,https://www.crunchbase.com/organization/agerio-5e79,2,,"Rio De Janeiro, Rio de Janeiro, Brazil",Rio de Janeiro State Development Agency,"Government Office, Private Equity Firm, Venture Capital","Early Stage Venture, Seed",,"54,469"
Small Business Corporation,https://www.crunchbase.com/organization/small-medium-business-corporation,16,,"Jinju, Kyongsang-namdo, South Korea",SBC is a non-profit government-funded organization that provides health and success solutions for small & medium enterprises.,Government Office,,3,"54,389"
Invest Ontario,https://www.crunchbase.com/organization/invest-ontario,1,,"Toronto, Ontario, Canada","Invest Ontario is an investment agency that provides business development, financial and investment services.",Government Office,,,"54,111"
University of Canterbury,https://www.crunchbase.com/organization/university-of-canterbury,,,"Christchurch, Canterbury, New Zealand","The University of Canterbury in Christchurch is New Zealand's second oldest university. Founded in 1873 through the efforts,",University Program,,,"53,804"
State of Vermont,https://www.crunchbase.com/organization/state-of-vermont,1,,"Montpelier, Vermont, United States",Vermont.gov is the state website for residential and business legislation in the state of Vermont.,Government Office,,1,"53,677"
Appalachian Regional Commission,https://www.crunchbase.com/organization/appalachian-regional-commission,30,,"Washington, District of Columbia, United States",Appalachian Regional Commission is an govt. office.,Government Office,,28,"53,604"
National Trust for Historic Preservation,https://www.crunchbase.com/organization/national-trust-for-historic-preservation,2,,"Washington, District of Columbia, United States","National Trust for Historic Preservation, a privately funded nonprofit organization, works to save America’s historic places.",Government Office,,2,"53,491"
