Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
DoAI,https://www.crunchbase.com/organization/doai,Biotechnology,"Seongnam, Kyonggi-do, South Korea","DoAI offers customized and automated solutions in the field of medical imaging, pharma and genomics.","86,500",Less than $1M,Active,2018-03-09,day,,,,,For Profit,http://www.doai.ai,,Seed,4300000000,KRW,3580463
Surginex,https://www.crunchbase.com/organization/surginex,"Biotechnology, Genetics, Medical Device, Test and Measurement","Seocho, Seoul-t'ukpyolsi, South Korea","Surginex is a biological drug development company that offers molecular biology, genetics, physical, and chemical analysis services.","86,605",,Active,2020-01-01,year,,,,,For Profit,https://www.surginex.com,,Early Stage Venture,4000000000,KRW,3360384
CHA Vaccine Institute,https://www.crunchbase.com/organization/cha-vaccine-institute,Biotechnology,"Gyeongju, Kyongsang-bukto, South Korea",CHA Vaccine Institute is a research-oriented biotechnology company.,"86,640",$1M to $10M,Active,2000-01-01,year,,,,,For Profit,http://en.chavaccine.com/,CHA Vaccine Institute is a research-oriented biotechnology company.,,10580000,USD,10580000
KS Bitusen,https://www.crunchbase.com/organization/ks-bitusen,"Biopharma, Biotechnology, Clinical Trials, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea",KS Bitusen is a drug research and development company specializing in muscle diseases.,"86,830",,Active,2020-01-01,year,,,,,For Profit,https://ksbtugen.com,,Seed,200000000,KRW,167713
Avelos Therapeutics,https://www.crunchbase.com/organization/avelos-therapeutics,"Biotechnology, Life Science, Precision Medicine","Seoul, Seoul-t'ukpyolsi, South Korea","Avelos Therapeutics is a precision medicine company in the clinical stage that finds, creates, and sells targeted therapeutics.","87,825",,Active,2021-01-01,year,,,,,For Profit,http://avelostx.com/,"Avelos Therapeutics is a precision medicine company in the clinical stage that finds, creates, and sells targeted therapeutics.",Early Stage Venture,8000000,USD,8000000
GeneMedicine,https://www.crunchbase.com/organization/gene-medicine,"Biotechnology, Medical","Seoul, Seoul-t'ukpyolsi, South Korea",GeneMedicine is a clinical stage biopharmaceutical company focused on developing next-generation viral immunotherapies.,"87,933",,Active,2014-11-01,month,,,,,For Profit,http://www.gene-medicine.com/,"GeneMedicine(GM) is a clinical stage biopharmaceutical company focused on developing next-generation viral immunotherapies, aiming to transform the therapeutic outcomes for cancer patients. Using their proprietary adenovirus platform, GM is developing several pipeline products that can be intratumorally and intravenously administered to selectively attack and eradicate tumor cells as well as potently stimulating multiple arms of antitumor immune response. GM’s viral immunotherapy has proven effective as both a standalone therapy and in combination with current standard of care, including immune checkpoint inhibitors (ICI). Intratumoral administration of GM oncolytic adenovirus offers several advantages over competitor products; (1) higher level of virus accumulation and localization in tumor tissues and (2) lower off-target systemic exposure, ultimately exerting potent therapeutic effect with minimal systemic toxicity. Our pipeline can effectively treat wide range of tumor types, including breast cancers (triple-negative and hormone receptor-positive), prostate cancer, melanoma, and non-melanoma skin cancer, desmoplastic cancers (like pancreatic cancer), and injectable visceral tumors that have spread to the liver, such as metastases from colorectal and lung cancer. To treat metastatic and recurrent cancers in late-stage cancer patients, GM has developed systemic delivery platform for oncolytic viruses that avoids rapid blood clearance and inactivation by the immune system and various blood components, which are known to severely hamper the clinical effectiveness of intravenously administered viral immunotherapies. Systemic delivery represents an important next step in successful oncolytic virus treatments for intractable and metastatic cancers that have disseminated to multiple organs.  Headquartered in the Fusion Technology Center, Seoul, South Korea, GM is a leader in oncolytic immunotherapy. GM’s potent multi-armed oncolytic viral platform (GM-OAd) is a culmination of multiple proprietary oncolytic adenovirus technologies, which has been intelligently designed and carefully optimized to ensure maximum therapeutic benefit in patients. The company was founded in 2014 and has been the recipient of Korean venture backing and grants. GM-OAd is a proprietary oncolytic adenovirus that has been extensively engineered to maximize its safety, cancer selectivity, and anti-tumor activity. GM-OAd-mediated oncolysis results in immunogenic cell death to trigger robust antitumor immune activation and memory formation to ensure long-term therapeutic benefit against cancer. GM has a highly scalable, low cost manufacturable platform offering highly versatile, innovative treatment options for patients with advanced or metastatic tumors. Further, they have a deep portfolio of unique, globally protected, intellectual property including patents for systemic delivery platform for oncolytic virus and technologies that ensure effective degradation of tumor extracellular matrix to enhance the intratumoral permeation and distribution of other conventional cancer drugs, like chemotherapy, targeted antibodies, and ICI, to achieve strong synergistic potential.  GeneMedicine is interested in assessing your interest in partnering their assets.",Early Stage Venture,15000000,USD,15000000
Tcino Bioscience,https://www.crunchbase.com/organization/tcino-bioscience,"Biotechnology, Medical, Test and Measurement","Yongin, Ch'ungch'ong-namdo, South Korea",Tcino Bioscience develops molecule anti-cancer drugs for cancer patients.,"88,989",$1M to $10M,Active,2020-09-02,day,,,,,For Profit,https://www.txinno.com,,,9200000000,KRW,7882643
C-TRI,https://www.crunchbase.com/organization/c-tri,"Biopharma, Biotechnology, Medical","Namyangju, Kyonggi-do, South Korea",C-TRI is involved in the manufacturing and advancement of pharmaceutical products.,"89,835",,Active,1998-01-01,year,,,,,For Profit,https://www.hlbpharma.co.kr/main/main.php,"C-TRI is involved in the manufacturing and advancement of pharmaceutical products. C-Tri Co., Ltd., based in Namyangju, South Korea, specializes in the production and development of pharmaceutical products. They offer a wide range of products, including peptides, antiviral drugs, ionic liquids, and more. Additionally, C-Tri Co., Ltd. provides OTC and ETC contract services. The company was established in 1998.",,1800000000,KRW,1678434
Mediaiplus,https://www.crunchbase.com/organization/mediaiplus,"Biotechnology, Clinical Trials, Pharmaceutical","Incheon, Inch'on-jikhalsi, South Korea",MediC helps pharmaceutical and research organizations easily find the most relevant and accurate data to get started on clinical trials.,"90,641",,Active,2019-01-30,day,,,,,For Profit,https://mediaiplus.com,"The process of getting started on clinical trials takes long, costs a lot, and patients suffer the most. With our service, MediC, pharmaceutical and research organizations can now easily find the most relevant and accurate data to get started on clinical trials.",Seed,99999999,KRW,84201
Mxt Biotech,https://www.crunchbase.com/organization/mxt-biotech-co,"Biotechnology, Health Care, Medical","Seoul, Seoul-t'ukpyolsi, South Korea",Mxt Biotech is a biotechnology company that develops transformative microfluidic platforms for cell engineering and immunotherapies.,"91,200",,Active,2021-01-01,year,,,,,For Profit,https://mxtbiotech.com,,Early Stage Venture,3900000,USD,3900000
G+FLAS Life Sciences,https://www.crunchbase.com/organization/g-flas-life-sciences,"Biopharma, Biotechnology, Life Science","Cheongju, Ch'ungch'ong-bukto, South Korea",G+FLAS Life Sciences is a global biotech startup company that develops genome editing application products.,"92,663",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://gflas.com,,,28480000000,KRW,24847309
Genesen,https://www.crunchbase.com/organization/genesen,"Biotechnology, Health Care, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea",Genesen is developing peptide-based new drugs that provides the treatment of autoimmune and inflammatory diseases.,"92,840",,Active,2018-01-01,year,,,,,For Profit,http://genesenbio.com/,Genesen is developing peptide-based new drugs that provides the treatment of autoimmune and inflammatory diseases.,Seed,1900000,USD,1900000
Innobon,https://www.crunchbase.com/organization/innobon,"Biotechnology, Life Science, Medical","Cheonan, Ch'ungch'ong-namdo, South Korea",Innobon develops synthetic bone graft materials for the treatment of bone defects and bone reconstruction.,"93,902",,Active,2010-11-01,month,,,,,For Profit,http://www.inobone.com,,Seed,400000000,KRW,350151
