Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
BUHO,https://www.crunchbase.com/organization/buho,"E-Commerce, Fashion, Recycling, Retail, Sustainability","Venice, California, United States","BUHO is a sustainable fashion & lifestyle platform with products for women, men, kids & home under one banner for the first time.","584,611","Greater Los Angeles Area, West Coast, Western US",,Closed,2018-03-01,day,,,,none,For Profit,https://shopbuho.co,"BUHO is a sustainable fashion & lifestyle platform with products for women, men, kids & home under one banner for the first time. We're rooted in an uncompromising commitment to sustainable contemporary fashion that’s easy to find, fun to wear, and earth-loving. Our company was born out of a belief that fashion can do better because we know better.  By combining fashion and social impact, BUHO provides consumers the opportunity to shop by the values most important to them. As an active member of 1% For the Planet, BUHO commits to donating 1% of all sales to support environmental programs and is a fully circular business with biodegradable packaging and an easy recycle program that distributes items to one of our non-profit partners repurposes it into new materials.  We are currently going through our B-Corp Certification Process.","Clothing and Apparel, Commerce and Shopping, Design, Sustainability",1,Maria Casey,1-10,1,,,,,,USD,,MassChallenge,,1,,Private,,,,,,
Global Fund for Children,https://www.crunchbase.com/organization/global-fund-for-children,,"Washington, District of Columbia, United States",Global Fund for Children invests in community-based organizations.,"584,611","Washington DC Metro Area, Southern US",,Active,1996-01-01,year,,,,,Non-profit,https://globalfundforchildren.org/,Global Fund for Children invests in community-based organizations around the world to help children and youth reach their full potential and advance their rights.,,,,11-50,,,,,,,,,,,,,Private,,,,,,
Gilchrist Metal Fabricating,https://www.crunchbase.com/organization/gilchrist-metal-fabricating,"Machinery Manufacturing, Manufacturing","Hudson, Ohio, United States",Gilchrist Metal Fabricating firm is a trusted provider of large CNC machining and large custom metal fabrication services for industries.,"584,613","Great Lakes, Midwestern US",$1M to $10M,Active,1975-01-01,year,,,,,For Profit,https://www.gmfco.com,,Manufacturing,,,11-50,,,,,,,,,,,,,Private,,,,,,
The Plus Group,https://www.crunchbase.com/organization/the-plus-group,"B2B, Human Resources, Staffing Agency","Woodridge, Illinois, United States",The Plus Group is a staffing and recruiting company that provides temporary and direct hire staffing services.,"584,613","Greater Chicago Area, Great Lakes, Midwestern US",$10M to $50M,Active,1982-01-01,day,,,,,For Profit,http://theplusgroup.com,,"Administrative Services, Other",,,501-1000,,,,,,,,,,,,,Private,,,,,,
Sketchy Group,https://www.crunchbase.com/organization/sketchy-com,"E-Learning, Media and Entertainment, Personal Development","Los Angeles, California, United States",Sketchy Group is a visual learning platform.,"584,617","Greater Los Angeles Area, West Coast, Western US",,Active,2013-01-01,year,,,,,For Profit,https://sketchy.com,"Sketchy help medical students effortlessly learn and recall information both in the classroom and on high-stakes exams by blending art, story, spaced repetition and memory palace techniques through an innovative online visual learning platform.","Education, Media and Entertainment, Software",1,Bob Carilli,101-250,,,,,,,,,,,,,Private,,,,,,
ARK Crystal,https://www.crunchbase.com/organization/ark-crystal,"Retail, Sales, Wearables","San Clemente, California, United States",ARK Crystal develops and manufactures wearable technology.,"584,619","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://arkcrystals.com,"ARK Crystal provides a range of products that are meant for educational purposes, and are not intended to replace conventional medicine.  Their products can influence water at the molecular level, optimizing biology for growth and vitality.","Commerce and Shopping, Consumer Electronics, Hardware, Sales and Marketing",1,Nassim Haramein,1-10,,,,,,,,,,,,,Private,,,,,,
Jan Biotech,https://www.crunchbase.com/organization/jan-biotech,"Analytics, Biotechnology, Genetics","Ithaca, New York, United States",Jan Biotech is a genetic diagnostic platform intended to assist in the real-time analysis of cell-based mRNA and detect HIV.,"584,620","East Coast, Northeastern US",$1M to $10M,Active,,,,,,,For Profit,https://janbiotech.com,,"Biotechnology, Data and Analytics, Health Care, Science and Engineering",,,1-10,,,,,,,,,,,,,Private,,,,,,
SystemoneX,https://www.crunchbase.com/organization/systemonex,"Consulting, Employment, Recruiting, Software, Staffing Agency","Revere, Massachusetts, United States","SystemoneX is a consultancy that specializes in IT recruiting, staffing, training, and software placement services.","584,623","Greater Boston Area, East Coast, New England",Less than $1M,Active,2016-01-01,year,,,,,For Profit,https://systemonex.com/,,"Administrative Services, Professional Services, Software",,,251-500,,,,,,,,,,,,,Private,,,,,,
Data West Corporation,https://www.crunchbase.com/organization/data-west-corporation,"Computer, Information Services, Information Technology, Software","Durango, Colorado, United States",Data West creates software products which are grounded in the real world needs of the utility industry.,"584,624",Western US,$1M to $10M,Active,1975-01-01,year,,,,,For Profit,http://www.dwcorp.com,"Data West was founded in 1975 as a service bureau serving the billing and customer information needs of the utility industry. Their technology products are grounded in the real world needs of the utility industry. Their commitment to excellence and innovation is reflected in their state-of-the-art computer center, which supports an active, ongoing software research program. They are the quality leader in utility billing technology and work hard every day to deliver superior products and outstanding customer service.","Consumer Electronics, Hardware, Information Technology, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
Saladino's,https://www.crunchbase.com/organization/saladino-s,Food Delivery,"Fresno, California, United States",Saladino’s is a foodservice distributor that delivers the highest quality products and services to their customers.,"584,628","West Coast, Western US",,Active,1980-02-22,day,,,,,For Profit,https://saladinos.com,,"Food and Beverage, Transportation",,,251-500,,,,,,,,,,,,,Private,,,,,,
