Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Catcha Group,https://www.crunchbase.com/organization/catcha-group,"Internet, Venture Capital","Kuala Lumpur, Kuala Lumpur, Malaysia","Catcha Group is an internet group focused on new media, online classifieds, & OTT businesses.","240,093",Active,2004-01-01,year,2021-02-12,day,,,For Profit,http://www.catchagroup.com,"The Catcha Group has a proven track record of investing in small- to medium-sized businesses to achieve rapid growth, profitability, IPO, and beyond. We do this by taking sizable stakes in companies with the ability to alter or define markets and mentoring them to unlock their true potential. We love talking about ideas, finding ways to create value, and developing businesses to realize tremendous growth. We are always ready to work with our portfolio companies through challenges, celebrate their successes, and do whatever it takes to make them number one in their fields.",IPO,,,
Alpro Pharmacy,https://www.crunchbase.com/organization/alpro-pharmacy,"Health Care, Pharmaceutical, Retail","Mambau, Negeri Sembilan, Malaysia","Alpro Pharmacy provides arterial hardening tests, blood pressure monitoring, and blood glucose monitoring services.","241,207",Active,2002-01-01,year,,,,,For Profit,https://www.alpropharmacy.com,,,,,
Toyota Capital Malaysia,https://www.crunchbase.com/organization/toyota-capital-malaysia,"Automotive, Finance, Financial Services, Risk Management","Petaling Jaya, Selangor, Malaysia","Toyota Capital Malaysia is a financial company that provides auto insurance, vehicle financing, and retail leasing services.","251,376",Active,2000-01-01,year,,,,,For Profit,https://toyotacapital.com.my/,,,,,
ViTrox,https://www.crunchbase.com/organization/vitrox,"Computer Vision, Information Technology, Internet of Things, Manufacturing","Batu Kawan, Pulau Pinang, Malaysia","ViTrox develops Total Machine Vision and Industrial IoT Solutions through the integration of technology, people, and strategic alliances.","252,715",Active,2000-01-01,year,,,,,For Profit,https://www.vitrox.com/,"ViTrox develops Total Machine Vision and Industrial IoT Solutions for its customers through the integration of technology, people, and strategic alliances. ViTrox's products include Mark, Lead & Package defects inspection systems for MLP, QFP, BGA, SOT, SC70, etc. ViTrox provides customized solutions for true 3D Lead Inspection, sub-pixel accuracy measurement systems, and 5-in-1 integrated and high-speed on-the-fly vision systems.",,,,
Aquaria,https://www.crunchbase.com/organization/aquawalk,"Aquaculture, Education, Ticketing","Kuala Lumpur, Kuala Lumpur, Malaysia","Aquaria is a state-of-the-art oceanarium featuring over 5,000 exhibits of aquatic and terrestrial creatures.","258,136",Active,2002-01-01,year,,,,,For Profit,http://www.aquariaklcc.com,"Aquaria is a state-of-the-art oceanarium showcasing over 5,000 different exhibits of aquatic and land-bound creatures. Located in the Golden Triangle of Kuala Lumpur.  Aquaria KLCC exhibits over 5,000 different aquatic and land-based exhibits over a 60,000 square-foot area in the Kuala Lumpur convention center's concourse. Email contact used for inquiries.",,,,
Tesco Stores (Malaysia),https://www.crunchbase.com/organization/tesco-stores--malaysia-,"E-Commerce, Retail","Kuala Lumpur, Kuala Lumpur, Malaysia",Full range of groceries as well as thousands of products from Tesco with Clubcard points.,"258,870",Active,2001-01-01,year,,,,,For Profit,http://tesco.com.my,,,,,
Lowyat NET,https://www.crunchbase.com/organization/lowyat-net,Communities,"Kuala Lumpur, Kuala Lumpur, Malaysia","Lowyat NET provides forums on computers, special interests, and collection of price lists of shops in Low Yatt Plaza, Kuala Lumpur.","266,419",Active,2002-01-01,year,,,,,For Profit,http://www.lowyat.net,"Lowyat NET provides forums on computers, special interests, and collection of price lists of shops in Low Yatt Plaza, Kuala Lumpur. It also enables users to search for various technical product reviews.",,,,
Affin Hwang Asset Management,https://www.crunchbase.com/organization/affin-hwang-asset-management,"Finance, Financial Services, Impact Investing","Kuala Lumpur, Kuala Lumpur, Malaysia",Affin Hwang Asset Management is an asset management ﬁrm that provides investment solutions for organizations.,"268,169",Active,2001-01-01,year,2022-01-28,day,,,For Profit,https://affinhwangam.com/,"Affin Hwang Asset Management is an independently-managed, bank-backed asset management ﬁrm that started its roots in 2001, serving the needs of corporates, institutions, pension funds, government-linked companies, high net worth individuals, and the mass affluent.",M&A,,,
Packet One Networks (P1),https://www.crunchbase.com/organization/packet-one-networks,Telecommunications,"Petaling Jaya, Selangor, Malaysia","P1 is a TM Group company, which anchors its growth together with strategic shareholders, Green Packet Berhad and SK Telecom.","269,632",Closed,2002-02-11,day,,,,none,For Profit,http://www.p1.com.my,"Packet One Networks (Malaysia) Sdn Bhd (""P1""), is a leading wireless broadband provider determined to become a formidable mobile telecom by making access to the Internet an awesome experience for every Malaysian. P1’s aspiration to deliver awesome is anchored by the synergistic tripartite partnership between TM, Malaysia’s broadband champion and leading integrated information and communications group; Green Packet Berhad, a global leading developer of 4G devices & solution; and SK Telecom, Korea’s largest telecom and the world’s first mobile carrier to launch LTE-advanced.",,,,
Green Packet,https://www.crunchbase.com/organization/green-packet,"Mobile, Telecommunications, Wireless","Petaling Jaya, Selangor, Malaysia",Wifi Offload & 4G devices provider.,"271,609",Active,2000-12-15,day,2005-05-30,day,,,For Profit,http://www.greenpacket.com,"Green Packet is a pioneer in providing wifi offloading solutions for operators worldwide. We are also the largest 4G Wimax CPE devices in Asia. Our suite of software solutions are suitable for operators, device, chipset and laptop manufacturers. Green Packet has offices worldwide, serving more than 80 operators around the world. Green Packet Investors include: SK Telecom (South Korea), Intel Corp.(USA), etc.",IPO,,,
