Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
PolicyPal,https://www.crunchbase.com/organization/policypal,"Finance, Financial Services, FinTech, Insurance","Singapore, Central Region, Singapore",PolicyPal is a digital management platform that provides personalized financial review and action plan.,"29,209",Active,2016-01-01,year,2020-03-17,day,,,For Profit,https://www.policypal.com/,PolicyPal is a digital management platform that provides personalized financial reviews and action plans to help users reach financial freedom. It primarily addresses challenges faced by consumers when purchasing insurance.,M&A,20000000,USD,20000000
EngageRocket,https://www.crunchbase.com/organization/engagerocket,"Analytics, Cloud Computing, Human Resources, Information Technology, Real Time, SaaS, Software","Singapore, Central Region, Singapore",EngageRocket improves employee experience at work with a strategy and action platform powered by relevant & timely people-data.,"29,606",Active,2016-01-01,year,,,,,For Profit,http://engagerocket.co/,"EngageRocket is a cloud-based software improves employee experience at work with a strategy and action platform powered by relevant & timely people-data. Founded in 2016, EngageRocket strives to change 100 million lives. We do this by improving the human experience at work, and enabling organizations to succeed through their biggest asset - people. EngageRocket is the first venture-backed HR Tech startup in Southeast Asia and was named 'Singapore's 20 hottest startups' by Singapore Business Review in 2018. EngageRocket automates employee feedback and analytics to deliver management insight that improves employee experience and performance. The company was founded in 2016 and headquartered in Singapore.",Early Stage Venture,3174135,USD,3174135
RateS,https://www.crunchbase.com/organization/rate-2deb,"Blockchain, E-Commerce","Singapore, Central Region, Singapore",Rate is a social commerce startup focused on Tier-2/3 cities in rural Indonesia.,"32,185",Active,2016-01-01,year,,,,,For Profit,https://ratesapp.co.id,Rate is a social commerce startup focused on Tier-2/3 cities in rural Indonesia.,Early Stage Venture,11500000,USD,11500000
Scantist,https://www.crunchbase.com/organization/scantist,"Cyber Security, Information Technology","Singapore, Central Region, Singapore",Scantist is a cyber-security spin-off from Nanyang Technological Universiy (Singapore).,"32,747",Active,2016-01-01,year,,,,,For Profit,https://scantist.com,Scantist is a local cybersecurity startup focused on managing open source vulnerabilities and improving compliance on the application level Scantist is a cyber-security spin-oﬀ from Nanyang Technological University (Singapore) which leverages its deep research and expertise to provide vulnerability management solutions to enterprise clients.,Early Stage Venture,5690321,USD,5690321
ipaymy,https://www.crunchbase.com/organization/ipaymy,"Credit, Financial Services, FinTech, Internet, Payments","Singapore, Central Region, Singapore",ipaymy is a financial technology company focused on building payment solutions for small businesses.,"32,766",Active,2016-01-01,year,,,,,For Profit,http://www.ipaymy.com,"ipaymy is a financial technology company focused on building payment solutions for small businesses. Our stack of payment technology products enables  businesses everywhere to optimize their accounts receivable and accounts payable operations with ipaymy’s easy-to-use,   yet powerful all-in-one business payments platform.",Early Stage Venture,5518481,USD,5518481
Qtum,https://www.crunchbase.com/organization/qtum,"Blockchain, Cryptocurrency, Ethereum","Singapore, Central Region, Singapore",Qtum is an open sourced public blockchain platform.,"34,990",Active,2016-01-01,year,,,,,For Profit,https://qtum.org/,"Qtum is an open sourced public blockchain platform, leveraging the security of UTXO while enabling multiple virtual machines including EVM and the revolutionary x86 VM. Qtum is PoS based and boasts a Decentralized Governance Protocol (DGP) allowing specific blockchain settings to be modified by making use of smart contracts. For instance, the block size of Qtum can be increased without the need of a hard fork. Qtum is a global project that aims to be the bridge between the Bitcoin and Ethereum communities, the real world and blockchain world. Therefore it only makes sense that the Qtum team comes from both the Bitcoin and Ethereum communities as well traditional companies like Baidu, Alibaba, Tencent, NASDAQ and more. The Qtum project is proud to be backed by some of the most notable blockchain players, traditional Venture Capitalists, and executives from some of China’s largest technology companies.",,17000000,USD,17000000
Biosyngen,https://www.crunchbase.com/organization/biosyngen,Biotechnology,"Singapore, Central Region, Singapore",Biosyngen is scientific research company.,"36,484",Active,2016-01-01,year,,,,,For Profit,https://www.biosyngen.com,Biosyngen is developing multiple T-cell immunotherapies with the aim to address a wide range of malignancies. BioSyngen Group is dedicated in the clinical and commercial transfer of innovative immune-cell therapy technologies and products. It develops immune cell therapies for aggaressive cancers.,,500000000,CNY,78206873
Dathena Science,https://www.crunchbase.com/organization/dathena-science,"Artificial Intelligence (AI), Big Data, Cyber Security, Machine Learning, Natural Language Processing","Singapore, Central Region, Singapore",Dathena Science is an artificial intelligence-powered data protection and privacy management company based in Singapore.,"37,997",Active,2016-01-01,year,2022-01-10,day,,,For Profit,https://www.dathena.io,"Dathena Science has been​ founded with a vision of bringing a new paradigm to privacy and data security protection. In an ever-growing information flow.  Enterprises around the world face the daunting challenge of harnessing, managing and controlling data in a more regulated environment with growing societal expectation with regards to privacy protection. Leveraging the power of latest AI technologies, Dathena is delivering breakthrough solutions with unprecedented efficiency, speed and accuracy to secure the “privacy and data security protection journey” of its clients.",M&A,12000000,USD,12000000
TSLC,https://www.crunchbase.com/organization/tslc,"Credit, Financial Services, FinTech, Machine Learning","Singapore, Central Region, Singapore",TSLC is an AI/ML-driven credit enablement platform company.,"39,076",Active,2016-01-01,year,,,,,For Profit,https://www.tslcglobal.com,"TSLC is an AI/ML-driven credit enablement platform that operates as an integrated, diversified millennial consumer finance company under the brand name CASHe.",Early Stage Venture,25000000,USD,25000000
Milieu Insight,https://www.crunchbase.com/organization/milieu-insight,"Analytics, Information Technology, Internet, Market Research","Singapore, Central Region, Singapore",Milieu Insight is a consumer data and analytics startup.,"41,737",Active,2016-01-01,year,,,,,For Profit,https://mili.eu/,"Milieu Insight is an independent market research firm that leverages powerful analytics technology and opinion data so you can visualise your milieu. milieu is constantly collecting millions of data points through a mobile survey app across a wide spectrum of consumer topics, providing you with instant access to visualising your consumers, in real time. Our data engine uses proprietary technology to transform an extensive readily accessible data set to highly visual insights.",Early Stage Venture,8130000,USD,8130000
